SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,NEAREST_STN,NEAREST_SCH,NEAREST_SCH_DIST,MONTH_SOLD,YEAR_SOLD
Port Kennedy,315000,4,2,2,550,127,1999,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,2.016747892191808,12,2020
Roleystone,795000,4,3,6,2095,254,1995,Kelmscott Station,KELMSCOTT SENIOR HIGH SCHOOL,6.0495538824943305,10,2017
Glen Forrest,600000,4,2,4,2028,222,1988,Midland Station,HELENA COLLEGE,1.6349241820962144,8,2015
Secret Harbour,400000,4,2,2,672,186,2002,Warnbro Station,COMET BAY COLLEGE,2.1973149440264903,9,2019
Herne Hill,350000,3,1,2,797,177,1974,Midland Station,SWAN CHRISTIAN COLLEGE,3.7882235628834837,8,2013
Gwelup,835000,4,2,2,480,170,1998,Warwick Station,BALCATTA SENIOR HIGH SCHOOL,1.5090079879697609,6,2016
Harrisdale,482000,4,2,2,469,152,2008,Cockburn Central Station,CAREY BAPTIST COLLEGE,1.7844150855051542,11,2020
North Fremantle,1260000,3,3,2,354,227,2000,North Fremantle Station,IONA PRESENTATION COLLEGE,2.427821858858271,11,2016
Quinns Rocks,405000,3,2,4,781,156,1989,Butler Station,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.7749138173095981,3,2019
Maida Vale,465000,3,2,2,620,143,2002,Midland Station,DARLING RANGE SPORTS COLLEGE,2.2956111136452835,7,2019
Spearwood,560000,5,2,2,592,168,1996,Cockburn Central Station,PORT SCHOOL,3.736130486068357,12,2018
Parkwood,380000,3,1,2,979,122,1978,Thornlie Station,LYNWOOD SENIOR HIGH SCHOOL,1.1228906301327497,5,2016
Butler,360000,3,2,2,397,130,2006,Butler Station,BUTLER COLLEGE,1.6522015339628773,12,2020
Tapping,540000,4,2,2,641,221,2005,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,1.9590164130110144,3,2018
Thornlie,420000,3,2,2,680,163,1991,Thornlie Station,THORNLIE SENIOR HIGH SCHOOL,1.7356599756645148,6,2020
Baldivis,330000,4,2,2,495,171,2011,Warnbro Station,TRANBY COLLEGE,2.668401882053026,12,2020
Kensington,705000,3,1,6,774,132,1952,Oats Street Station,KENT STREET SENIOR HIGH SCHOOL,1.093286046042056,10,2017
Kiara,615000,4,2,2,818,247,1994,Bassendean Station,KIARA COLLEGE,0.5464288811907199,3,2016
Hamilton Hill,565000,3,2,2,775,151,1960,Fremantle Station,SETON CATHOLIC COLLEGE,0.8307663583413691,5,2020
Menora,850000,3,1,1,917,120,1959,Mount Lawley Station,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.4013905888710385,10,2013
Southern River,780000,4,2,2,447,305,2015,Thornlie Station,PROVIDENCE CHRISTIAN COLLEGE,1.4963495341523,9,2018
Bibra Lake,520000,3,3,2,358,154,2001,Cockburn Central Station,PERTH WALDORF SCHOOL,1.5261775040533658,3,2018
Swanbourne,1100000,3,1,1,619,150,1945,Swanbourne Station,SCOTCH COLLEGE,0.5714538835012237,12,2016
The Vines,590000,5,2,2,834,246,2004,Midland Station,HOLY CROSS COLLEGE,3.964054248621698,3,2020
Stratton,312000,4,2,3,561,101,1993,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.2073077021350427,8,2018
North Beach,900000,3,2,3,372,213,2008,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.2602271540900296,8,2016
Haynes,177000,3,1,0,412,150,2015,Armadale Station,DALE CHRISTIAN SCHOOL,1.0032399435564363,8,2013
Madeley,580000,4,2,2,541,188,2004,Greenwood Station,KINGSWAY CHRISTIAN COLLEGE,1.257943569133381,7,2017
Wembley Downs,1310000,4,2,2,544,246,2010,Glendalough Station,HALE SCHOOL,0.9108820775888916,7,2019
Bentley,470000,3,2,2,295,110,1950,Welshpool Station,CANNING COLLEGE,1.8221119153340877,2,2018
Manning,717000,3,2,2,578,176,1995,Canning Bridge Station,COMO SECONDARY COLLEGE,0.5838539860074374,2,2018
Warwick,650000,4,2,1,715,170,1995,Warwick Station,GREENWOOD COLLEGE,1.5003658378094367,8,2014
Queens Park,387000,4,1,4,380,114,1998,Queens Park Station,ST NORBERT COLLEGE,0.2653986305726844,9,2018
Medina,330000,3,2,2,233,111,2014,Kwinana Station,GILMORE COLLEGE,0.9586860908608232,7,2015
Kalamunda,605000,2,1,0,2578,180,1977,Madding,ST BRIGID'S COLLEGE,1.1428021247311355,8,2020
Bullsbrook,380000,3,2,2,350,156,2016,Midland Station,HOLY CROSS COLLEGE,14.257082473865493,6,2016
Koongamia,85000,2,1,2,828,117,1965,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.488743831488223,10,1998
Merriwa,345000,3,2,2,603,128,1992,Butler Station,ALKIMOS BAPTIST COLLEGE,0.8727779765182248,6,2017
Aubin Grove,528000,4,2,2,619,180,2008,Cockburn Central Station,ATWELL COLLEGE,2.757298788389314,3,2018
Karrinyup,1350000,4,1,5,802,266,2012,Warwick Station,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.1339156167704767,3,2018
Gooseberry Hill,735000,4,2,2,1940,223,1982,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,2.9641504305521567,7,2015
Darch,442500,4,2,2,529,176,2005,Greenwood Station,ASHDALE SECONDARY COLLEGE,0.9080791199887812,11,2019
Hillarys,1015000,3,2,2,500,312,2003,Greenwood Station,SACRED HEART COLLEGE,1.1773460302620864,8,2018
Alexander Heights,530000,3,2,4,771,200,1985,Warwick Station,MERCY COLLEGE,2.340057578272209,5,2016
St James,515000,3,1,2,688,90,1958,Welshpool Station,CANNING COLLEGE,1.4162531479760074,6,2019
Bassendean,1100000,4,2,4,1012,251,2005,Success Hill Station,CYRIL JACKSON SENIOR CAMPUS,1.5188824776156191,11,2018
Ardross,1265000,4,3,2,590,261,2005,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,0.6452769429862221,2,2018
Bedfordale,750000,4,3,2,4225,236,2003,Armadale Station,SOUTHERN HILLS CHRISTIAN COLLEGE,3.89817720262778,8,2019
Success,472500,4,2,4,446,147,2008,Cockburn Central Station,ATWELL COLLEGE,2.094911833401787,7,2018
Ballajura,392500,4,2,0,532,185,1995,Bayswater Station,BALLAJURA COMMUNITY COLLEGE,1.1361609048672543,1,2019
Woodbridge,900000,4,2,2,454,263,1995,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,0.8310189988790908,12,2008
Leda,380000,5,2,2,642,153,1994,Wellard Station,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.2145051752706348,4,2015
Manning,590000,3,2,2,449,179,2001,Canning Bridge Station,COMO SECONDARY COLLEGE,0.9884782102504912,4,2019
Bateman,835000,4,2,2,727,179,1985,Bull Creek Station,CORPUS CHRISTI COLLEGE,0.8025022598534814,11,2018
Eglinton,495000,4,2,2,432,155,2015,Butler Station,YANCHEP SECONDARY COLLEGE,5.284579807507599,2,2016
Kiara,390000,4,2,3,543,111,1994,Bassendean Station,KIARA COLLEGE,1.192517672021573,6,2012
Orelia,280000,3,1,2,806,119,1970,Kwinana Station,GILMORE COLLEGE,1.1822571093570655,3,2017
Beckenham,355000,3,1,2,953,140,1974,Kenwick Station,COMMUNICARE ACADEMY,0.9445252804787819,2,2017
Edgewater,465000,4,2,4,697,160,1987,Edgewater Station,MATER DEI COLLEGE,1.7420523808690005,1,2016
South Lake,372000,3,2,2,402,135,1995,Cockburn Central Station,LAKELAND SENIOR HIGH SCHOOL,1.5292995824649906,1,2020
Helena Valley,685000,4,2,2,1012,180,1994,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,3.1358636613891946,4,2015
East Cannington,360000,3,2,2,218,130,2006,Canning,SEVENOAKS SENIOR COLLEGE,0.6670685196759771,3,2016
Singleton,320000,4,2,2,550,185,2006,Mandurah Station,COMET BAY COLLEGE,2.2454085252134144,6,2020
Darch,492000,3,2,2,289,122,2008,Greenwood Station,ASHDALE SECONDARY COLLEGE,0.866779697791059,4,2016
Marmion,974000,5,2,2,766,290,1990,Warwick Station,CARINE SENIOR HIGH SCHOOL,1.857116986460901,2,2013
Maddington,435000,4,2,5,1062,177,1988,Gosnells Station,LUMEN CHRISTI COLLEGE,1.6458743464550831,9,2017
Mount Claremont,900000,3,2,2,367,160,1995,Loch Street Station,JOHN XXIII COLLEGE,0.8258967333064485,6,2017
Greenwood,405000,3,1,3,698,110,1975,Warwick Station,WARWICK SENIOR HIGH SCHOOL,0.6005024273524234,8,2018
Beechboro,290000,3,1,1,782,111,1978,Success Hill Station,KIARA COLLEGE,1.7721533441463786,12,2018
Wembley,1160000,2,2,1,635,201,1950,Glendalough Station,BOLD PARK COMMUNITY SCHOOL,0.8283557812219488,12,2019
Butler,415000,3,2,2,555,159,2004,Butler Station,BUTLER COLLEGE,0.4784643150888098,11,2019
Edgewater,525000,4,2,1,758,125,1984,Edgewater Station,MATER DEI COLLEGE,0.2751352156882065,10,2017
Harrisdale,629000,4,2,3,578,229,2012,Cockburn Central Station,CAREY BAPTIST COLLEGE,0.7050115331321091,9,2017
The Vines,600000,4,2,2,510,217,2007,Midland Station,HOLY CROSS COLLEGE,3.089274715629556,11,2020
Madeley,427000,3,2,2,618,134,2005,Greenwood Station,KINGSWAY CHRISTIAN COLLEGE,1.0966909467611414,3,2020
Iluka,1015000,5,3,2,911,309,1995,Joondalup Station,PRENDIVILLE CATHOLIC COLLEGE,1.3647346343297648,2,2017
Waikiki,445000,4,2,2,747,210,1991,Warnbro Station,SOUTH COAST BAPTIST COLLEGE,1.1778358413079064,11,2019
Mundaring,610000,4,2,3,1869,167,1985,Midland Station,MUNDARING CHRISTIAN COLLEGE,1.8512313396055864,12,2018
Ballajura,465000,4,2,2,803,173,1988,Maylands Station,BALLAJURA COMMUNITY COLLEGE,1.093248837960484,8,2019
Kiara,454000,4,2,2,545,160,1993,Bassendean Station,KIARA COLLEGE,0.4985020167053297,9,2009
Stratton,380000,3,2,1,514,131,2000,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.3394162247710946,10,2014
Ashby,382000,4,2,2,401,186,2005,Joondalup Station,WANNEROO SECONDARY COLLEGE,3.1255687265192087,6,2020
Salter Point,1150000,4,2,2,527,209,2001,Canning Bridge Station,AQUINAS COLLEGE,0.8250744707544544,1,2014
Mount Pleasant,2200000,2,1,2,1100,497,1958,Bull Creek Station,AQUINAS COLLEGE,1.335488696225683,12,2018
Warnbro,375000,4,2,4,580,140,2006,Warnbro Station,SOUTH COAST BAPTIST COLLEGE,1.3622448756117536,9,2018
Byford,495000,4,2,2,694,246,2010,Armadale Station,BYFORD SECONDARY COLLEGE,0.9236522735311185,11,2020
Darch,445000,3,2,2,327,171,2008,Greenwood Station,ASHDALE SECONDARY COLLEGE,0.3082940723333923,9,2016
Willagee,515000,4,2,1,450,150,2002,Fremantle Station,MELVILLE SENIOR HIGH SCHOOL,1.0008772383254252,7,2019
Bertram,270000,3,2,2,271,109,2011,Kwinana Station,THE KING'S COLLEGE,1.862233999784348,8,2020
Mullaloo,780000,5,2,2,810,180,1977,Edgewater Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.909756021244471,4,2018
Woodlands,1280000,4,3,4,701,264,1980,Stirling Station,CHURCHLANDS SENIOR HIGH SCHOOL,1.4077351107615041,8,2017
Wellard,410000,4,2,2,465,206,2015,Wellard Station,THE KING'S COLLEGE,1.8344178642145368,3,2018
Lockridge,425000,4,2,1,666,143,1983,Bassendean Station,KIARA COLLEGE,0.9659138534719108,1,2014
Bateman,599900,3,1,0,807,126,1968,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.1916408863162802,11,2017
Rossmoyne,1330000,3,2,2,1133,135,1974,Bull Creek Station,AQUINAS COLLEGE,1.246711777080163,2,2014
Wembley,732000,3,1,2,328,145,1990,Subiaco Station,PERTH MODERN SCHOOL,1.8956452613918149,3,2019
Beaconsfield,530000,3,2,2,1319,133,1995,Fremantle Station,FREMANTLE COLLEGE,0.4478662989059305,12,2017
Bentley,465000,3,2,3,327,136,2012,Welshpool Station,CANNING COLLEGE,1.0261506367266038,1,2019
Quinns Rocks,380000,3,2,2,646,168,1995,Butler Station,ALKIMOS BAPTIST COLLEGE,0.8689656216467839,1,2020
Bull Creek,572000,3,1,2,483,115,1995,Murdoch Station,CORPUS CHRISTI COLLEGE,1.3609387232194925,8,2017
Iluka,1300000,5,3,4,770,350,2002,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.004713284863781,3,2018
Brentwood,710250,4,2,2,434,139,1990,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.6381013286764965,5,2016
Carine,835000,5,2,2,755,197,1986,Warwick Station,CARINE SENIOR HIGH SCHOOL,0.4801233338355535,2,2018
Beldon,400000,3,1,0,683,86,1978,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.6677235223517203,12,2016
Hillman,275000,3,1,1,761,94,1988,Rockingham Station,KOLBE CATHOLIC COLLEGE,1.2093193671897242,7,2015
Swan View,335000,3,1,0,686,133,1985,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,1.4037634181891845,2,2017
Bennett Springs,400000,4,2,2,582,153,2001,Bassendean Station,KIARA COLLEGE,2.59456066883142,1,2017
Darch,532000,4,2,2,653,191,2004,Greenwood Station,ASHDALE SECONDARY COLLEGE,0.7195305813430949,8,2016
Claremont,1700000,3,2,4,613,125,1995,Claremont Station,CHRIST CHURCH GRAMMAR SCHOOL,1.0430209501072545,12,2020
Brentwood,820000,3,2,2,419,162,2006,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.5420481546059277,9,2015
Singleton,385000,3,1,0,913,112,1983,Mandurah Station,MANDURAH BAPTIST COLLEGE,3.0055114968358936,1,2016
Butler,427000,4,2,4,673,153,2002,Butler Station,BUTLER COLLEGE,0.8901644386596161,11,2018
Mount Hawthorn,660000,2,2,2,376,100,1962,Glendalough Station,BOLD PARK COMMUNITY SCHOOL,0.6572481039968868,7,2019
Ferndale,250000,3,1,1,955,396,2017,Queens Park Station,FOUNTAIN COLLEGE,1.5711536476349452,7,2016
Boya,508000,4,2,2,1010,157,1993,Midland Station,TREETOPS MONTESSORI SCHOOL,2.0913038430418958,5,2015
Beckenham,415000,4,2,2,538,115,1994,Beckenham Station,REHOBOTH CHRISTIAN COLLEGE,1.98784123172784,9,2018
Aveley,550000,4,3,3,741,254,2008,Woodbridge Station,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,0.3402891575356141,5,2019
Iluka,935000,4,2,2,623,280,2007,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.8119322883552083,2,2020
Warnbro,380000,3,2,3,759,179,1994,Warnbro Station,WARNBRO COMMUNITY HIGH SCHOOL,0.7674817174207745,3,2018
Midland,349000,2,1,0,927,106,1930,Midland Station,LA SALLE COLLEGE,0.8824765111293752,1,2018
Atwell,470000,4,2,2,701,168,1998,Cockburn Central Station,ATWELL COLLEGE,1.668099473116731,3,2019
High Wycombe,475000,4,2,2,500,197,2007,Midland Station,YOUTH FUTURES COMMUNITY SCHOOL,4.567599087956439,9,2020
Kinross,577500,4,2,2,674,161,1995,Currambine Station,LAKE JOONDALUP BAPTIST COLLEGE,3.1936569444535032,4,2019
Ferndale,490000,4,2,5,700,79,1975,Queens Park Station,FOUNTAIN COLLEGE,0.8624621848625819,2,2018
Guildford,715000,4,2,1,380,160,1900,Guildford Station,GUILDFORD GRAMMAR SCHOOL,1.585287253108679,2,2015
Rossmoyne,1100000,4,3,0,520,240,2009,Bull Creek Station,AQUINAS COLLEGE,1.1586690823274857,9,2014
North Coogee,1130000,4,2,2,495,241,2009,Fremantle Station,PORT SCHOOL,2.7724699981086705,10,2017
Gnangara,340000,4,1,0,40864,180,1978,Edgewater Station,LANDSDALE CHRISTIAN SCHOOL,4.193281124963692,12,1998
Ascot,720000,4,3,2,528,189,1997,Bassendean Station,CYRIL JACKSON SENIOR CAMPUS,1.6404497031616243,9,2014
Hillarys,1075000,4,2,0,451,282,2003,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.9960874930925764,2,2019
Spearwood,475000,4,2,2,427,142,1994,Cockburn Central Station,PORT SCHOOL,3.5247258188858805,1,2019
Bibra Lake,545000,4,2,2,735,170,1984,Cockburn Central Station,PERTH WALDORF SCHOOL,1.6751102830693831,2,2017
Warnbro,317500,4,2,2,872,153,1965,Warnbro Station,LIVING WATERS LUTHERAN COLLEGE,0.9712676910505369,3,2018
Osborne Park,465000,3,2,2,337,117,2002,Glendalough Station,SERVITE COLLEGE,0.8803877559786919,7,2020
Success,449000,4,2,2,502,185,2004,Cockburn Central Station,EMMANUEL CATHOLIC COLLEGE,1.0042534402617076,8,2020
Karragullen,150000,4,2,0,16392,160,1980,Seaforth Station,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,8.801104301025326,6,1995
Sinagra,450000,4,2,2,588,160,1995,Joondalup Station,WANNEROO SECONDARY COLLEGE,2.339293137668597,5,2018
Woodbridge,525000,3,1,2,607,94,1969,Woodbridge Station,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.3966067018408369,11,2007
Darlington,900000,4,3,3,2152,260,1982,Midland Station,HELENA COLLEGE,1.01788587865268,8,2017
Bedfordale,950000,4,3,3,3102,287,2009,Armadale Station,SOUTHERN HILLS CHRISTIAN COLLEGE,2.6634223927141356,12,2014
Redcliffe,375000,3,2,0,428,144,2000,Bassendean Station,BELMONT CITY COLLEGE,1.9329278995923345,9,2020
Pearsall,522000,4,2,2,641,222,2002,Edgewater Station,ALTA-1,0.8828001504020482,2,2019
Huntingdale,464000,4,1,4,700,182,1986,Gosnells Station,SOUTHERN RIVER COLLEGE,0.8956053692480858,7,2016
Dayton,550000,4,2,2,414,190,1995,East Guildford Station,SWAN CHRISTIAN COLLEGE,3.6364575944032933,1,2016
Kiara,490000,4,2,2,720,166,1989,Ashfield Station,KIARA COLLEGE,0.9794607508034756,10,2008
Morley,560000,2,1,0,605,185,2006,Meltham Station,JOHN FORREST SECONDARY COLLEGE,0.3917012664671572,5,2020
Iluka,1160000,4,2,3,696,329,2010,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.2247264469982344,7,2019
Balcatta,460000,3,2,2,322,109,1997,Stirling Station,BALCATTA SENIOR HIGH SCHOOL,1.5724517959293425,7,2018
Rossmoyne,872000,4,2,2,1029,147,1989,Bull Creek Station,ROSSMOYNE SENIOR HIGH SCHOOL,1.1816277886610915,1,2014
Merriwa,335000,3,2,2,653,168,2002,Clarkson Station,QUINNS BAPTIST COLLEGE,0.3994851302453237,4,2017
Koongamia,83000,2,1,2,935,100,1959,Midland Station,SWAN VIEW SENIOR HIGH SCHOOL,2.537533644600079,6,1998
Menora,925000,4,2,4,792,237,1969,Mount Lawley Station,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.7770936549534767,1,2018
Kwinana Town Centre,330000,3,2,2,203,108,2015,Wellard Station,GILMORE COLLEGE,0.4393725735915627,11,2015
City Beach,1930000,4,3,2,440,307,2012,Swanbourne Station,NEWMAN COLLEGE,1.7608619613636132,4,2016
Baldivis,547000,3,2,2,749,259,2009,Warnbro Station,BALDIVIS SECONDARY COLLEGE,1.22823888675086,7,2020
The Vines,533000,4,2,0,734,243,2001,Midland Station,HOLY CROSS COLLEGE,3.7064215883191935,9,2017
Bateman,460000,2,1,1,807,76,1969,Bull Creek Station,CORPUS CHRISTI COLLEGE,1.201104502750636,7,2019
Two Rocks,405000,4,2,2,819,139,1986,Butler Station,YANCHEP SECONDARY COLLEGE,8.416124394930307,1,2016
Kallaroo,1075000,4,2,3,773,330,1989,Whitfords Station,ST MARK'S ANGLICAN COMMUNITY SCHOOL,0.5925881517503163,8,2016
Tapping,465000,3,2,2,420,185,2007,Currambine Station,JOSEPH BANKS SECONDARY COLLEGE,2.566084751071037,8,2017
Banksia Grove,335000,4,2,2,373,116,2004,Clarkson Station,JOSEPH BANKS SECONDARY COLLEGE,0.5371549862250681,8,2017
East Cannington,745000,4,2,2,462,337,2008,Beckenham Station,SEVENOAKS SENIOR COLLEGE,1.6630049076909694,8,2016
Kenwick,385000,3,2,2,416,141,2015,Madding,REHOBOTH CHRISTIAN COLLEGE,0.7817533089278483,5,2018
Bibra Lake,480000,3,1,2,700,102,1980,Murdoch Station,LEEMING SENIOR HIGH SCHOOL,1.819736512298564,8,2016
Lockridge,330000,3,1,5,351,100,2000,Bassendean Station,KIARA COLLEGE,1.5805977119834675,9,2015
Noranda,520000,4,2,0,752,214,1990,Bayswater Station,HAMPTON SENIOR HIGH SCHOOL,2.1968361317962275,11,2016
Yangebup,885000,4,2,2,641,255,2009,Cockburn Central Station,DIVINE MERCY COLLEGE,1.5799270500026137,11,2020
Darch,610000,4,2,2,596,247,2007,Whitfords Station,ASHDALE SECONDARY COLLEGE,0.6424997711313413,8,2016
Mindarie,830000,4,2,2,726,266,2001,Clarkson Station,QUINNS BAPTIST COLLEGE,0.9351675390104184,1,2018
Mount Hawthorn,825000,4,2,2,325,144,1995,West Leederville Station,BOLD PARK COMMUNITY SCHOOL,0.8120958853584155,2,2018
Kalamunda,485000,4,2,1,997,179,1970,Madding,KALAMUNDA SENIOR HIGH SCHOOL,1.1316072058559248,7,2018
Swanbourne,980000,4,2,3,500,180,1995,Swanbourne Station,SCOTCH COLLEGE,0.7589308241649902,5,2017
Iluka,769000,5,2,2,638,323,2005,Currambine Station,PRENDIVILLE CATHOLIC COLLEGE,2.8140065094257967,6,2017
Wellard,900000,4,2,5,2929,346,1998,Wellard Station,THE KING'S COLLEGE,1.347217423278439,12,2018
Huntingdale,410000,3,2,1,675,143,1985,Gosnells Station,SOUTHERN RIVER COLLEGE,1.3867827258095105,5,2016
Calista,475000,4,2,2,559,201,2006,Wellard Station,GILMORE COLLEGE,1.320656151613119,12,2015
Marangaroo,385000,4,2,1,613,132,1993,Warwick Station,GIRRAWHEEN SENIOR HIGH SCHOOL,1.3487736966952382,7,2019
Mount Helena,385000,4,1,2,1635,134,1975,Midland Station,EASTERN HILLS SENIOR HIGH SCHOOL,0.840697792336558,5,2019
Mundaring,650000,2,1,0,3675,231,2005,Midland Station,MUNDARING CHRISTIAN COLLEGE,2.204977612319573,2,2020
Duncraig,730000,5,2,2,576,183,2012,Greenwood Station,DUNCRAIG SENIOR HIGH SCHOOL,0.8987050124562183,2,2020
Gooseberry Hill,560000,5,3,2,2646,270,1990,Midland Station,KALAMUNDA SENIOR HIGH SCHOOL,2.8620448664142564,5,2016
Haynes,720000,4,2,2,2000,232,1993,Armadale Station,CECIL ANDREWS COLLEGE,1.0837834212141273,1,2013
Kewdale,505000,3,1,2,688,132,1986,Queens Park Station,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,0.5347278879686045,5,2017
Kenwick,362500,5,2,1,515,153,1998,Madding,REHOBOTH CHRISTIAN COLLEGE,0.9599976366140784,7,2019
Beldon,487000,3,1,2,685,124,1983,Edgewater Station,BELRIDGE SECONDARY COLLEGE,0.2595192258331441,2,2017
Ardross,600000,3,1,3,380,95,1970,Canning Bridge Station,APPLECROSS SENIOR HIGH SCHOOL,0.5520845502362297,8,2016
Mount Claremont,1675000,4,3,2,1055,299,2000,Claremont Station,JOHN XXIII COLLEGE,0.5453652631717104,10,2017
Shoalwater,315000,3,1,1,825,109,1980,Rockingham Station,ROCKINGHAM SENIOR HIGH SCHOOL,2.300003885959917,9,2017
Melville,990000,3,2,3,873,156,1995,Bull Creek Station,MELVILLE SENIOR HIGH SCHOOL,1.0212576743540371,9,2019
